   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
   28     0.197     119.886719      -1.430960      12.000000     10.00     10.00   135.713    73.076    -0.881   -130.00      0.00    0
   29     0.232     119.883591      -1.340580      12.000000     10.00     10.00   135.858    74.095    -6.949   -120.00      0.00    0
   30     0.251     119.880463      -1.250200      12.000000     10.00     10.00   135.629    75.422   -10.586   -110.00      0.00    0
   31     0.246     119.877319      -1.159820      12.000000     10.00     10.00   134.964    76.704   -14.677   -100.00      0.00    0
   32     0.216     119.874191      -1.069440      12.000000     10.00     10.00   134.476    78.832   -19.772    -90.00      0.00    0
   33     0.176     119.871063      -0.979050      12.000000     10.00     10.00   134.584    79.804   -25.710    -80.00      0.00    0
   34     0.134     119.867928      -0.888670      12.000000     10.00     10.00   136.572    80.320   -30.479    -70.00      0.00    0
   35     0.091     119.864792      -0.798290      12.000000     10.00     10.00   149.320    87.230   -21.677    -60.00      0.00    0
   36     0.097     119.861656      -0.707910      12.000000     10.00     10.00   345.200    65.261   -16.693    -50.00      0.00    0
   37     0.126     119.858528      -0.617530      12.000000     10.00     10.00   354.259    76.051   -16.452    -40.00      0.00    0
   38     0.169     119.855400      -0.527150      12.000000     10.00     10.00   359.857    86.225   -11.740    -30.00      0.00    0
   39     0.211     119.852257      -0.436760      12.000000     10.00     10.00   180.990    89.941     7.471    -20.00      0.00    0
   40     0.238     119.849129      -0.346380      12.000000     10.00     10.00   180.094    88.236     2.753    -10.00      0.00    0
   41     0.249     119.846001      -0.256000      12.000000     10.00     10.00   179.262    85.427    -1.976      0.00      0.00    0
   42     0.245     119.842873      -0.165620      12.000000     10.00     10.00   178.429    83.587    -5.665     10.00      0.00    0
   43     0.223     119.839737      -0.075240      12.000000     10.00     10.00   178.052    83.130    -6.312     20.00      0.00    0
   44     0.183     119.836601       0.015150      12.000000     10.00     10.00   178.441    83.052    -5.139     30.00      0.00    0
   45     0.133     119.833473       0.105530      12.000000     10.00     10.00   179.039    81.692     1.878     40.00      0.00    0
   46     0.074     119.830338       0.195910      12.000000     10.00     10.00   179.779    80.133     8.129     50.00      0.00    0
   47     0.017     119.867081      -1.793620       2.664200     10.00     10.00    36.728    69.562  -176.936   -170.00     10.00    0
   48     0.036     119.863937      -1.703240       2.664200     10.00     10.00    38.617    68.162  -179.142   -160.00     10.00    0
   49     0.063     119.860809      -1.612860       2.664200     10.00     10.00    41.037    72.151   176.525   -150.00     10.00    0
   50     0.094     119.857681      -1.522470       2.664200     10.00     10.00   135.042    79.416     8.508   -140.00     10.00    0
   51     0.123     119.854538      -1.432090       2.664200     10.00     10.00   135.833    74.494    -0.507   -130.00     10.00    0
   52     0.145     119.851410      -1.341710       2.664200     10.00     10.00   135.746    73.615    -7.334   -120.00     10.00    0
   53     0.157     119.848282      -1.251330       2.664200     10.00     10.00   135.454    75.416   -11.291   -110.00     10.00    0
   54     0.153     119.845207      -1.160950       2.664200     10.00     10.00   134.983    77.201   -14.928   -100.00     10.00    0
   55     0.135     119.842072      -1.070570       2.664200     10.00     10.00   134.591    79.079   -19.377    -90.00     10.00    0
   56     0.110     119.838928      -0.980190       2.664200     10.00     10.00   134.912    80.352   -24.620    -80.00     10.00    0
   57     0.083     119.835793      -0.889800       2.664200     10.00     10.00   137.397    81.136   -28.206    -70.00     10.00    0
   58     0.059     119.832657      -0.799420       2.664200     10.00     10.00   148.444    84.967   -23.832    -60.00     10.00    0
   59     0.061     119.829521      -0.709040       2.664200     10.00     10.00   345.154    65.016   -15.822    -50.00     10.00    0
   60     0.080     119.826378      -0.618660       2.664200     10.00     10.00   354.472    75.431   -15.646    -40.00     10.00    0
   61     0.106     119.823242      -0.528280       2.664200     10.00     10.00   359.845    86.125   -11.160    -30.00     10.00    0
   62     0.133     119.820099      -0.437900       2.664200     10.00     10.00   180.940    89.175     7.020    -20.00     10.00    0
   63     0.151     119.816963      -0.347510       2.664200     10.00     10.00   180.278    87.165     2.768    -10.00     10.00    0
   64     0.158     119.813828      -0.257130       2.664200     10.00     10.00   179.436    84.784    -1.694      0.00     10.00    0
   65     0.155     119.810692      -0.166750       2.664200     10.00     10.00   178.650    83.330    -5.071     10.00     10.00    0
   66     0.140     119.807564      -0.076370       2.664200     10.00     10.00   178.323    83.145    -5.990     20.00     10.00    0
   67     0.115     119.804428       0.014020       2.664200     10.00     10.00   178.645    82.545    -4.816     30.00     10.00    0
   68     0.082     119.801300       0.104400       2.664200     10.00     10.00   179.573    81.274     0.061     40.00     10.00    0
   69     0.045     119.798172       0.194780       2.664200     10.00     10.00   180.462    80.155     5.716     50.00     10.00    0
