   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
  100     29.00      4.00     1.854     119.915352      -1.791920      16.667900      5.00      5.00   359.252    77.827     6.648   -170.00     -5.00
  101     29.00      4.00     1.988     119.913788      -1.746730      16.667900      5.00      5.00     0.940    78.865     7.139   -165.00     -5.00
  102     28.00      3.00     1.952     119.912216      -1.701540      16.667900      5.00      5.00     2.175    80.920     6.527   -160.00     -5.00
  103     27.00      0.00     1.762     119.910652      -1.656350      16.667900      5.00      5.00     2.527    83.438     3.305   -155.00     -5.00
  104     26.00      0.00     1.471     119.909081      -1.611160      16.667900      5.00      5.00     1.568    86.429     0.294   -150.00     -5.00
  105     25.00      0.00     1.168     119.907516      -1.565970      16.667900      5.00      5.00   178.596    86.930     4.307   -145.00     -5.00
  106     25.00      0.00     0.993     119.905952      -1.520780      16.667900      5.00      5.00   172.534    81.595    12.596   -140.00     -5.00
  107     23.00      0.00     1.023     119.904381      -1.475590      16.667900      5.00      5.00   162.543    86.246    17.817   -135.00     -5.00
  108     23.00      0.00     1.187     119.902809      -1.430400      16.667900      5.00      5.00   336.253    88.779   -15.060   -130.00     -5.00
  109     22.00      0.00     1.422     119.901253      -1.385210      16.667900      5.00      5.00   333.640    87.778   -12.224   -125.00     -5.00
  110     22.00      2.00     1.654     119.899681      -1.340020      16.667900      5.00      5.00   153.370    88.426    11.914   -120.00     -5.00
  111     21.00      3.00     1.831     119.898109      -1.294830      16.667900      5.00      5.00   154.319    87.718    15.284   -115.00     -5.00
  112     20.00      1.00     1.878     119.896553      -1.249630      16.667900      5.00      5.00   158.298    85.242    20.995   -110.00     -5.00
  113     18.00      0.00     1.859     119.894981      -1.204440      16.667900      5.00      5.00   165.927    80.936    30.114   -105.00     -5.00
  114     18.00      0.00     1.803     119.893410      -1.159250      16.667900      5.00      5.00   174.141    78.737    34.603   -100.00     -5.00
  115     17.00      0.00     1.807     119.891853      -1.114060      16.667900      5.00      5.00   179.611    81.605    38.579    -95.00     -5.00
  116     15.00      0.00     1.837     119.890282      -1.068870      16.667900      5.00      5.00   356.955    88.779   -38.201    -90.00     -5.00
  117     15.00      0.00     1.905     119.888710      -1.023680      16.667900      5.00      5.00   348.491    75.325   -31.009    -85.00     -5.00
  118     14.00      3.00     2.057     119.887154      -0.978490      16.667900      5.00      5.00   341.618    65.148   -27.222    -80.00     -5.00
  119     13.00      5.00     2.235     119.885582      -0.933300      16.667900      5.00      5.00   335.755    59.650   -27.398    -75.00     -5.00
  120     12.00      6.00     2.516     119.884010      -0.888110      16.667900      5.00      5.00   331.574    58.505   -27.304    -70.00     -5.00
  121     12.00      8.00     2.668     119.882446      -0.842920      16.667900      5.00      5.00   332.514    64.850   -20.289    -65.00     -5.00
  122     11.00      7.00     2.754     119.880882      -0.797730      16.667900      5.00      5.00   336.272    81.766    -3.540    -60.00     -5.00
  123     10.00      8.00     2.920     119.879311      -0.752540      16.667900      5.00      5.00   157.802    87.984    -5.364    -55.00     -5.00
  124      9.00      9.00     2.980     119.877747      -0.707340      16.667900      5.00      5.00   159.529    86.191    -7.390    -50.00     -5.00
  125      9.00      8.00     2.895     119.876183      -0.662150      16.667900      5.00      5.00   162.296    88.028    -9.260    -45.00     -5.00
  126      8.00      9.00     2.767     119.874619      -0.616960      16.667900      5.00      5.00   345.699    88.092    11.688    -40.00     -5.00
  127      7.00      8.00     2.651     119.873047      -0.571770      16.667900      5.00      5.00   350.305    80.409    12.385    -35.00     -5.00
  128      6.00      7.00     2.607     119.871483      -0.526580      16.667900      5.00      5.00   354.308    72.232     9.727    -30.00     -5.00
  129      5.00      8.00     2.564     119.869919      -0.481390      16.667900      5.00      5.00   357.523    66.044     4.640    -25.00     -5.00
  130      4.00      7.00     2.551     119.868347      -0.436200      16.667900      5.00      5.00   359.645    64.935     1.468    -20.00     -5.00
  131      3.00      7.00     2.664     119.866791      -0.391010      16.667900      5.00      5.00     0.528    65.081    -1.321    -15.00     -5.00
  132      2.00      8.00     2.718     119.865219      -0.345820      16.667900      5.00      5.00     0.713    69.589    -2.937    -10.00     -5.00
  133      2.00      9.00     2.725     119.863647      -0.300630      16.667900      5.00      5.00     0.595    71.912    -4.936     -5.00     -5.00
  134      2.00      6.00     2.651     119.862091      -0.255430      16.667900      5.00      5.00     1.758    73.885    -6.091      0.00     -5.00
  135      2.00      5.00     2.480     119.860519      -0.210240      16.667900      5.00      5.00     4.126    76.374    -7.376      5.00     -5.00
  136      3.00      5.00     2.204     119.858948      -0.165050      16.667900      5.00      5.00     7.108    80.256    -9.230     10.00     -5.00
  137      3.00      3.00     1.838     119.857384      -0.119860      16.667900      5.00      5.00     8.773    83.295   -11.943     15.00     -5.00
  138      4.00      1.00     1.339     119.855812      -0.074670      16.667900      5.00      5.00   189.492    87.936    23.928     20.00     -5.00
  139      4.00      0.00     0.970     119.854240      -0.029480      16.667900      5.00      5.00   213.701    67.327    76.193     25.00     -5.00
  140      5.00      0.00     0.848     119.852669       0.015710      16.667900      5.00      5.00   353.872    23.405    41.134     30.00     -5.00
  141      7.00      0.00     0.953     119.851097       0.060900      16.667900      5.00      5.00   220.779    76.112   110.389     35.00     -5.00
  142      8.00      0.00     0.926     119.849533       0.106090      16.667900      5.00      5.00   212.263    72.871   111.072     40.00     -5.00
  143      9.00      0.00     0.767     119.847961       0.151280      16.667900      5.00      5.00   189.503    65.326   117.423     45.00     -5.00
  144      9.00      0.00     0.467     119.846390       0.196470      16.667900      5.00      5.00   179.846    63.942   119.518     50.00     -5.00
  145     31.00      0.00     0.753     119.903961      -1.928060      12.000000      5.00      5.00   169.581    89.537     8.621   -185.00      0.00
  146     31.00      0.00     1.384     119.902397      -1.882870      12.000000      5.00      5.00   172.153    88.595     7.788   -180.00      0.00
  147     30.00      3.00     1.843     119.900833      -1.837680      12.000000      5.00      5.00   174.652    89.517     4.125   -175.00      0.00
  148     30.00      5.00     2.124     119.899261      -1.792490      12.000000      5.00      5.00   357.353    88.737    -0.462   -170.00      0.00
  149     29.00      6.00     2.273     119.897690      -1.747300      12.000000      5.00      5.00     0.202    86.275     1.497   -165.00      0.00
  150     28.00      5.00     2.248     119.896133      -1.702110      12.000000      5.00      5.00     2.345    84.572     2.441   -160.00      0.00
  151     28.00      4.00     2.030     119.894562      -1.656920      12.000000      5.00      5.00     3.461    84.774    -0.048   -155.00      0.00
