   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
   72     18.00      3.00     2.126     119.900101      -0.887540      21.335800      5.00      5.00   353.879    78.302   -15.076    -70.00    -10.00      0.50
   73     16.00      2.00     2.384     119.898537      -0.842350      21.335800      5.00      5.00   352.702    78.033   -22.899    -65.00    -10.00      0.50
   74     16.00      0.00     2.340     119.896973      -0.797160      21.335800      5.00      5.00   352.176    77.920   -23.700    -60.00    -10.00      0.50
   75     14.00      0.00     2.266     119.895401      -0.751970      21.335800      5.00      5.00   351.985    75.781   -20.058    -55.00    -10.00      0.50
   76     13.00      0.00     2.190     119.893837      -0.706780      21.335800      5.00      5.00   348.910    68.092   -13.517    -50.00    -10.00      0.50
   77     11.00      0.00     2.202     119.892273      -0.661590      21.335800      5.00      5.00   343.435    67.029    -8.648    -45.00    -10.00      0.50
   78     10.00      0.00     2.202     119.890701      -0.616400      21.335800      5.00      5.00   342.131    79.120    -2.949    -40.00    -10.00      0.50
   79      9.00      0.00     2.233     119.889137      -0.571210      21.335800      5.00      5.00   342.260    83.002     5.555    -35.00    -10.00      0.50
   80      8.00      0.00     2.190     119.887573      -0.526020      21.335800      5.00      5.00   343.893    87.701    17.364    -30.00    -10.00      0.50
   81      7.00      0.00     2.137     119.886002      -0.480820      21.335800      5.00      5.00   348.813    85.336    20.211    -25.00    -10.00      0.50
   82      5.00      0.00     2.217     119.884438      -0.435630      21.335800      5.00      5.00   356.283    74.003    15.484    -20.00    -10.00      0.50
   83      4.00      1.00     2.460     119.882874      -0.390440      21.335800      5.00      5.00     1.288    64.400     9.147    -15.00    -10.00      0.50
   84      3.00      4.00     2.741     119.881310      -0.345250      21.335800      5.00      5.00     2.065    67.380    11.569    -10.00    -10.00      0.50
   85      3.00      4.00     2.918     119.879738      -0.300060      21.335800      5.00      5.00     2.477    70.227    11.422     -5.00    -10.00      0.50
   86      2.00      4.00     2.817     119.878166      -0.254870      21.335800      5.00      5.00     2.991    71.526     8.278      0.00    -10.00      0.50
   87      3.00      4.00     2.529     119.876602      -0.209680      21.335800      5.00      5.00     3.969    72.544     3.343      5.00    -10.00      0.50
   88      3.00      3.00     2.066     119.875038      -0.164490      21.335800      5.00      5.00     6.918    72.658     4.215     10.00    -10.00      0.50
   89      4.00      0.00     1.456     119.873466      -0.119300      21.335800      5.00      5.00     3.059    65.011     0.973     15.00    -10.00      0.50
   90      5.00      0.00     0.899     119.871902      -0.074100      21.335800      5.00      5.00    46.861    31.463    89.779     20.00    -10.00      0.50
   91      6.00      0.00     0.787     119.870331      -0.028910      21.335800      5.00      5.00    56.066    28.031    83.698     25.00    -10.00      0.50
   92      7.00      0.00     0.897     119.868759       0.016280      21.335800      5.00      5.00    75.034    26.171    92.773     30.00    -10.00      0.50
   93      9.00      0.00     0.765     119.867188       0.061470      21.335800      5.00      5.00   195.325    41.735   114.384     35.00    -10.00      0.50
   94     10.00      0.00     0.791     119.865623       0.106660      21.335800      5.00      5.00   320.724    74.318    29.804     40.00    -10.00      0.50
   95     11.00      0.00     0.924     119.864052       0.151850      21.335800      5.00      5.00   318.274    87.437    22.911     45.00    -10.00      0.50
   96     12.00      0.00     0.658     119.862480       0.197040      21.335800      5.00      5.00   323.450    80.909    17.549     50.00    -10.00      0.50
   97      1.00      0.00     0.000     119.920059      -1.927490      16.667900      5.00      5.00   180.000    45.000    90.000   -185.00     -5.00      0.50
   98      1.00      0.00     0.000     119.918488      -1.882300      16.667900      5.00      5.00   180.000    45.000    90.000   -180.00     -5.00      0.50
   99      1.00      0.00     0.000     119.916924      -1.837110      16.667900      5.00      5.00   180.000    45.000    90.000   -175.00     -5.00      0.50
  100      1.00      0.00     0.000     119.915352      -1.791920      16.667900      5.00      5.00   180.000    45.000    90.000   -170.00     -5.00      0.50
  101      1.00      0.00     0.000     119.913788      -1.746730      16.667900      5.00      5.00   180.000    45.000    90.000   -165.00     -5.00      0.50
  102     39.00      0.00     0.079     119.912216      -1.701540      16.667900      5.00      5.00    17.105     2.127  -163.853   -160.00     -5.00      0.50
  103     39.00      0.00     0.260     119.910652      -1.656350      16.667900      5.00      5.00   101.531    24.331   -75.970   -155.00     -5.00      0.50
  104     38.00      0.00     0.456     119.909081      -1.611160      16.667900      5.00      5.00   104.299    32.630   -67.327   -150.00     -5.00      0.50
  105     38.00      0.00     0.359     119.907516      -1.565970      16.667900      5.00      5.00   120.125    40.354   -55.689   -145.00     -5.00      0.50
  106     35.00      0.00     0.419     119.905952      -1.520780      16.667900      5.00      5.00   333.380    69.087   -28.072   -140.00     -5.00      0.50
  107     34.00      0.00     0.622     119.904381      -1.475590      16.667900      5.00      5.00   352.210    75.752   -17.661   -135.00     -5.00      0.50
  108     32.00      0.00     0.972     119.902809      -1.430400      16.667900      5.00      5.00     6.983    69.939    -0.166   -130.00     -5.00      0.50
  109     32.00      0.00     1.306     119.901253      -1.385210      16.667900      5.00      5.00    13.681    61.775    13.897   -125.00     -5.00      0.50
  110     32.00      0.00     1.401     119.899681      -1.340020      16.667900      5.00      5.00    11.725    70.510     7.286   -120.00     -5.00      0.50
  111     29.00      0.00     1.384     119.898109      -1.294830      16.667900      5.00      5.00     7.919    82.305    -1.362   -115.00     -5.00      0.50
  112     28.00      0.00     1.340     119.896553      -1.249630      16.667900      5.00      5.00     4.507    87.263     4.353   -110.00     -5.00      0.50
  113     27.00      0.00     1.228     119.894981      -1.204440      16.667900      5.00      5.00   359.058    89.632     8.532   -105.00     -5.00      0.50
  114     25.00      0.00     1.252     119.893410      -1.159250      16.667900      5.00      5.00   168.139    84.509    -8.741   -100.00     -5.00      0.50
  115     24.00      0.00     1.693     119.891853      -1.114060      16.667900      5.00      5.00   158.410    81.614   -10.375    -95.00     -5.00      0.50
  116     23.00      2.00     2.247     119.890282      -1.068870      16.667900      5.00      5.00   156.182    80.862    -7.577    -90.00     -5.00      0.50
  117     22.00      5.00     2.544     119.888710      -1.023680      16.667900      5.00      5.00   158.580    81.835    -2.630    -85.00     -5.00      0.50
  118     21.00      5.00     2.561     119.887154      -0.978490      16.667900      5.00      5.00   165.064    86.219     3.868    -80.00     -5.00      0.50
  119     19.00      5.00     2.659     119.885582      -0.933300      16.667900      5.00      5.00   349.845    86.250   -14.407    -75.00     -5.00      0.50
  120     18.00      6.00     2.908     119.884010      -0.888110      16.667900      5.00      5.00   351.916    80.584   -20.146    -70.00     -5.00      0.50
  121     17.00      5.00     3.067     119.882446      -0.842920      16.667900      5.00      5.00   352.335    75.822   -19.355    -65.00     -5.00      0.50
