   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
   79     119.856956      -0.572340      20.000000     1.912   341.217    83.990    10.270   250.130    79.787   173.893    -35.00      0.00    0
   80     119.855400      -0.527150      20.000000     1.775   346.483    89.313    16.931   256.274    73.070   179.282    -30.00      0.00    0
   81     119.853828      -0.481950      20.000000     1.901   355.492    82.430    21.265   262.557    68.929   171.884    -25.00      0.00    0
   82     119.852257      -0.436760      20.000000     2.234     2.239    73.723    20.716   266.188    70.150   162.663    -20.00      0.00    0
   83     119.850700      -0.391570      20.000000     2.625   269.354    73.572   159.863     5.274    70.719    17.435    -15.00      0.00    0
   84     119.849129      -0.346380      20.000000     3.045   269.360    73.623   159.530     5.368    70.395    17.416    -10.00      0.00    0
   85     119.847572      -0.301190      20.000000     3.624     1.837    64.226     7.606   268.514    83.155   154.027     -5.00      0.00    0
   86     119.846001      -0.256000      20.000000     3.797     0.655    59.829     2.075   269.612    88.206   149.812      0.00      0.00    0
   87     119.844429      -0.210810      20.000000     3.346    90.981    89.121  -151.622     0.506    61.625    -0.999      5.00      0.00    0
   88     119.842873      -0.165620      20.000000     2.592    92.365    86.080  -157.356     0.732    67.412    -4.246     10.00      0.00    0
   89     119.841301      -0.120430      20.000000     1.612    92.318    72.790  -172.078   359.961    82.435   -17.366     15.00      0.00    0
   90     119.839737      -0.075240      20.000000     0.915   191.982    68.799    55.037    74.635    40.177   145.907     20.00      0.00    0
   91     119.838173      -0.030050      20.000000     0.941   204.915    67.621    84.026    40.283    23.123   104.186     25.00      0.00    0
   92     119.836601       0.015150      20.000000     1.003   181.312    61.611    85.484    10.743    28.717    98.288     30.00      0.00    0
   93     119.835037       0.060340      20.000000     0.922   180.326    52.484    89.209     1.625    37.524    91.030     35.00      0.00    0
   94     119.833473       0.105530      20.000000     0.868   170.478    42.515    75.685     9.573    49.095   102.772     40.00      0.00    0
   95     119.831909       0.150720      20.000000     0.940   134.338    83.089   -14.797   226.159    75.313  -172.854     45.00      0.00    0
