   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
   97     0.319     119.914047      -1.849490      16.667900      5.00      5.00   189.646    54.359    17.545   -185.00     -5.00    0
   98     0.540     119.912491      -1.804300      16.667900      5.00      5.00   189.446    61.565    20.759   -180.00     -5.00    0
   99     0.700     119.910919      -1.759110      16.667900      5.00      5.00   189.515    68.641    22.740   -175.00     -5.00    0
  100     0.848     119.909348      -1.713920      16.667900      5.00      5.00   192.103    70.687    24.777   -170.00     -5.00    0
  101     0.973     119.907784      -1.668730      16.667900      5.00      5.00   193.789    74.296    28.476   -165.00     -5.00    0
  102     1.009     119.906219      -1.623540      16.667900      5.00      5.00   193.104    75.938    25.796   -160.00     -5.00    0
  103     1.000     119.904648      -1.578350      16.667900      5.00      5.00   191.529    78.716    20.695   -155.00     -5.00    0
  104     0.955     119.903084      -1.533160      16.667900      5.00      5.00   187.730    84.675    11.945   -150.00     -5.00    0
  105     0.942     119.901512      -1.487970      16.667900      5.00      5.00   185.668    88.856    -2.182   -145.00     -5.00    0
  106     1.021     119.899948      -1.442780      16.667900      5.00      5.00     5.957    81.866    17.260   -140.00     -5.00    0
  107     1.161     119.898376      -1.397590      16.667900      5.00      5.00     3.710    80.288    24.588   -135.00     -5.00    0
  108     1.323     119.896812      -1.352400      16.667900      5.00      5.00     1.007    81.229    30.631   -130.00     -5.00    0
  109     1.464     119.895248      -1.307210      16.667900      5.00      5.00   359.392    80.203    32.727   -125.00     -5.00    0
  110     1.582     119.893677      -1.262020      16.667900      5.00      5.00   358.791    78.146    32.141   -120.00     -5.00    0
  111     1.653     119.892113      -1.216830      16.667900      5.00      5.00   358.555    74.840    27.704   -115.00     -5.00    0
  112     1.766     119.890549      -1.171630      16.667900      5.00      5.00   356.589    73.621    20.075   -110.00     -5.00    0
  113     1.885     119.888977      -1.126440      16.667900      5.00      5.00   355.732    73.082    12.856   -105.00     -5.00    0
