   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
  105     1.920     119.907516      -1.565970      16.667900      5.00      5.00   358.000    69.000     1.600   -145.00     -5.00    0
  106     1.259     119.905952      -1.520780      16.667900      5.00      5.00   358.000    69.000     9.587   -140.00     -5.00    0
  107     0.370     119.904381      -1.475590      16.667900      5.00      5.00   358.000    69.000    55.149   -135.00     -5.00    0
  108     0.720     119.902809      -1.430400      16.667900      5.00      5.00   358.000    69.000   141.765   -130.00     -5.00    0
  109     1.614     119.901253      -1.385210      16.667900      5.00      5.00   358.000    69.000   151.218   -125.00     -5.00    0
  110     2.395     119.899681      -1.340020      16.667900      5.00      5.00   358.000    69.000   138.364   -120.00     -5.00    0
  111     2.707     119.898109      -1.294830      16.667900      5.00      5.00   358.000    69.000   126.363   -115.00     -5.00    0
  112     2.476     119.896553      -1.249630      16.667900      5.00      5.00   358.000    69.000   113.895   -110.00     -5.00    0
  113     1.834     119.894981      -1.204440      16.667900      5.00      5.00   358.000    69.000   108.994   -105.00     -5.00    0
  114     0.551     119.893410      -1.159250      16.667900      5.00      5.00   358.000    69.000   109.974   -100.00     -5.00    0
  115     0.298     119.891853      -1.114060      16.667900      5.00      5.00   358.000    69.000   -51.955    -95.00     -5.00    0
  116     1.073     119.890282      -1.068870      16.667900      5.00      5.00   358.000    69.000   -62.826    -90.00     -5.00    0
  117     1.174     119.888710      -1.023680      16.667900      5.00      5.00   358.000    69.000   -32.427    -85.00     -5.00    0
  118     1.440     119.887154      -0.978490      16.667900      5.00      5.00   358.000    69.000    12.468    -80.00     -5.00    0
  119     2.434     119.885582      -0.933300      16.667900      5.00      5.00   358.000    69.000     5.639    -75.00     -5.00    0
  120     3.123     119.884010      -0.888110      16.667900      5.00      5.00   358.000    69.000    -1.947    -70.00     -5.00    0
  121     3.389     119.882446      -0.842920      16.667900      5.00      5.00   358.000    69.000    -0.296    -65.00     -5.00    0
  122     3.312     119.880882      -0.797730      16.667900      5.00      5.00   358.000    69.000     1.187    -60.00     -5.00    0
  123     2.950     119.879311      -0.752540      16.667900      5.00      5.00   358.000    69.000     9.573    -55.00     -5.00    0
  124     2.728     119.877747      -0.707340      16.667900      5.00      5.00   358.000    69.000    22.958    -50.00     -5.00    0
  125     2.545     119.876183      -0.662150      16.667900      5.00      5.00   358.000    69.000    30.176    -45.00     -5.00    0
  126     2.176     119.874619      -0.616960      16.667900      5.00      5.00   358.000    69.000    32.703    -40.00     -5.00    0
